Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
GU85BU8079,TOSHIBA,19544.52,0.256,3984.46,61,0.253,12,318.31,0.002,0.76,44,3,0.004,0,28,0.611,10
55UA2063,METZ,19449.31,0,0,90,0,0,215.86,0,0,30,2,0.001,0,0,,
65 GUB 8251,PHILIPS,19412.63,0.173,2858.83,45,0.293,10,434.59,-0.093,-44.43,61,-2,0.008,0.5,,,
48OLED707,TELEFUNKEN,19409.8,1.788,12447.17,68,1.9,44,286.78,-0.039,-11.52,40,1,0.001,0,61,4.799,50
L32G7LX,SAMSUNG,19247.9,0.016,295.43,39,0.01,0,488.53,0.005,2.56,68,4,0.002,0.1,7,,
70UA5D63DG,SONY,19214.52,0.136,2295.59,17,0.251,3,1104.87,-0.092,-111.83,154,-6,0.003,0,,,
GQ50QN90B,SAMSUNG,19169.17,-0.38,-11753.16,35,-0.428,-26,548.77,0.083,42.05,77,10,0.005,0.1,,,
TX-55MZT1506,TECHNISAT,18974,0.314,4534,84,0.4,24,225.88,-0.061,-14.79,32,0,0,0,0,,
H32TS550S,TOSHIBA,18969.71,-0.12,-2577.87,61,0.147,8,313.23,-0.232,-94.88,44,-10,0.006,-0.2,42,8.931,38
TX-43MXW834,TOSHIBA,18895.79,-0.311,-8528.34,54,-0.319,-25,348.17,0.011,3.9,49,3,0.015,0.7,5,-0.432,-4
BE65C-H/LH65BECH,WE. BY LOEWE.,18871.48,1.145,10073.13,13,0.819,6,1506.29,0.179,229.12,210,42,0.002,0.1,,,
XR-75X94K,TOSHIBA,18838.24,0.782,8265.73,41,1.005,21,458.33,-0.111,-57.35,64,-4,0.005,0.2,,,
TX-55LXN978,PANASONIC,18723.69,-0.214,-5092.65,55,-0.212,-15,342.92,-0.002,-0.74,48,3,0.004,0,9,-0.393,-6
XR-83A90J,PHILIPS,18714.39,0.348,4830.01,25,0.38,7,736.79,-0.024,-17.8,103,4,0.001,0,15,0.183,2
65U7HQ,METZ,18598.42,0.349,4814.82,98,0.361,26,189.78,-0.009,-1.66,26,1,0.001,0,0,,
OLED55G19LA,SAMSUNG,18557.31,-0.455,-15465.05,10,-0.451,-8,1914.35,-0.007,-13.58,267,14,0.001,0,0,,
XH24SN550MVD,PHILIPS,18529.06,0.077,1321.07,15,0.071,1,1235.27,0.005,6.13,172,11,0.01,0,9,-0.196,-2
55 GUB 7340,LG,18390,-0.694,-41629.54,2,-0.714,-5,9195,0.072,620.78,1282,156,0,-0.1,,,
GQ55QN94B,SAMSUNG,18264.79,-0.131,-2764.21,15,-0.211,-4,1217.65,0.1,110.86,170,24,0.001,0,,,
TX-32M330E,LG,18195.38,4.935,15129.38,8,4.446,6,2386.28,0.09,196.28,333,45,0.001,0.1,,,
65QNED879QB,SONY,18164.22,1.091,9475.68,12,1.053,6,1552,0.019,28.2,216,16,0.002,0.1,0,,
XF40SN550S,HISENSE,18133.28,0.169,2623.9,15,0.154,2,1208.89,0.013,15.86,169,12,0.001,0,0,,
GQ43QN90A,TELEFUNKEN,18080.14,,,86,,,209.99,,,29,,0.001,,0,,
42LX1Q9LA,LG,18045.42,0.678,7288.48,11,0.763,5,1598.96,-0.049,-81.81,223,2,0.002,0.1,10,,
65PUS8518,METZ,17967,-0.231,-5390,50,-0.231,-15,359.34,0,0,50,3,0,0,0,,
TX-75LXF887,SONY,17827.68,-0.447,-14423.77,8,-0.508,-8,2178.03,0.124,240.17,304,49,0.001,-0.8,4,-0.649,-8
TX-75MXF977,TCL,17802.76,0.168,2558.96,19,0.843,9,946.91,-0.366,-547.58,132,-64,0.003,-0.1,17,,
32FA2E,PANASONIC,17552.03,-0.218,-4898.2,35,-0.233,-10,508.75,0.02,9.86,71,5,0.001,0,35,,
70E7HQ,LG,17494.57,0.198,2890.2,27,0.192,4,641.09,0.005,3.03,89,6,0.008,0.6,14,1.981,9
50PUS8857,TOSHIBA,17425,-0.589,-25004,45,-0.628,-76,387.22,0.104,36.57,54,8,0,0,0,,
D43U750E2CW,DYON,17416.22,1.507,10468.23,34,0.98,17,507.43,0.266,106.59,71,18,0.004,0.3,0,,
LT-43VF5155,ANTTEQ,17395.02,0.346,4474.61,24,0.368,6,722.78,-0.016,-11.7,101,4,0.004,0.1,11,2.078,7
65PUS8007,METZ,17265.51,1.171,9312.51,106,1.307,60,162.73,-0.059,-10.16,23,0,0.001,0.1,106,,
65PML9008,PHILIPS,17235,-0.354,-9449.05,59,-0.352,-32,292.12,-0.003,-0.79,41,2,0,0,0,,
OLED42C27LA,SONY,17138.5,3.299,13152.21,16,2.83,12,1067.87,0.123,116.6,149,24,0.002,0.2,5,,
KD-43X80K,SONY,17088.26,-0.545,-20498.68,17,-0.525,-19,1000.21,-0.043,-44.55,139,2,0.003,-0.3,,,
32PFS6905,PANASONIC,17071,7.255,15003,29,8.667,26,588.66,-0.146,-100.68,82,-8,0,0,,,
32WD3C63,SONY,16955.15,7.132,14870.15,34,5.86,29,494.31,0.185,77.31,69,14,0.006,0.5,0,,
BILD V.65 DR+,SAMSUNG,16944,0.231,3177,16,0.231,3,1059,0,0,148,9,0,0,0,,
50E61KT,PHILIPS,16853.06,-0.08,-1463.21,102,-0.147,-17,166.04,0.079,12.12,23,3,0.002,0.1,0,,
TX-75LXX979,TOSHIBA,16752.84,-0.271,-6227.73,48,-0.273,-18,349.02,0.002,0.83,49,3,0.001,0,,,
D24H550X2CW,TELEFUNKEN,16686.87,-0.337,-8484.51,32,-0.319,-15,524.5,-0.027,-14.4,73,2,0.005,-0.1,,,
GQ85Q80B,LOEWE,16619.56,1.505,9985.81,13,1.465,8,1299,0.016,20.94,181,13,0.002,0.1,0,,
XU50AN754M,SAMSUNG,16609.54,-0.629,-28176.76,16,-0.658,-30,1054.57,0.085,82.4,147,19,0.003,-0.6,5,-0.876,-33
32MTD3001Z,METZ,16592,0.228,3076.4,54,0.224,10,307.26,0.003,0.78,43,3,0,0,0,,
GU75AU7179,PHILIPS,16581.73,3.756,13095.21,36,3.488,28,461.81,0.06,26,64,7,0.002,0.1,11,0.683,4
55UQ75009LF,PANASONIC,16554.86,-0.385,-10357.41,81,-0.383,-50,204.18,-0.004,-0.76,28,2,0.017,-0.5,4,-0.875,-30
KD-48A9,SONY,16502.15,-0.211,-4414.97,17,-0.253,-6,987.66,0.056,52.82,138,15,0.003,0,0,-1,-9
50DJ4E,SAMSUNG,16467.35,-0.435,-12672.07,9,-0.437,-7,1829.71,0.005,8.49,255,16,0.002,-0.1,3,-0.672,-6
43PUS7556,PHILIPS,16278.08,-0.513,-17164.53,42,-0.512,-44,387.57,-0.003,-1.29,54,3,0.001,0,,,
OLED77B29LA,SAMSUNG,16272.28,-0.593,-23725.72,1,-0.349,-1,12499,-0.375,-7500,1743,-884,0,0,,,
65MOC9001Z,PHILIPS,16142.9,-0.237,-5005.09,18,-0.267,-6,917.01,0.041,35.85,128,12,0.001,0,16,-0.267,-6
XR-75X95J,GRUNDIG,16001.51,0.148,2057.4,4,-0.018,0,3555.93,0.169,513.25,496,96,0.001,0.1,2,,
WEGAVISION UHD55A,HISENSE,15905.44,0.862,7364.66,16,0.951,8,1018.83,-0.046,-48.77,142,2,0.011,0.9,5,1.342,3
OLED55A19LA,LG,15901.25,-0.706,-38275.91,12,-0.739,-34,1325.1,0.125,147.34,185,30,0,0,,,
43UQ80009LB,TELEFUNKEN,15859.98,-0.179,-3454.26,71,-0.236,-22,224.8,0.074,15.58,31,4,0.009,0.2,11,-0.339,-6
40FG2E,SHARP,15825.49,-0.298,-6713.92,140,-0.262,-50,113.05,-0.049,-5.77,16,0,0.003,-0.3,17,-0.557,-21
65QA7D63,SONY,15790.4,2.279,10975.13,37,2.51,27,424.89,-0.066,-29.91,59,0,0.006,0.4,25,,
86UR781C0LB,METZ,15774,0.439,4813.12,46,0.474,15,342.91,-0.024,-8.4,48,2,0,0,0,,
QU65K800,SAMSUNG,15727.17,,,10,,,1532.2,,,214,,0.002,,0,,
65PUS8508,TELEFUNKEN,15658.08,-0.408,-10771.07,74,-0.4,-50,210.77,-0.012,-2.65,29,1,0.007,-0.4,62,-0.352,-34
50UR80006LJ,SAMSUNG,15650.16,0.96,7663.44,36,0.997,18,433.47,-0.019,-8.28,60,2,0.004,0.1,22,,
55PUS8007,SONY,15628.22,-0.548,-18961.88,17,-0.582,-24,911.06,0.08,67.63,127,16,0.003,-1,4,,
55UL2163,METZ,15611.96,-0.135,-2428.04,64,-0.134,-10,243.56,-0.001,-0.23,34,2,0.001,0.1,0,,
XR-65A80K,SAMSUNG,15517,-0.323,-7411,19,-0.321,-9,816.68,-0.003,-2.17,114,6,0,0,0,,
55E77KQ PRO,TECHNISAT,15490.6,0.216,2751.6,40,0.215,7,386.3,0.001,0.27,54,3,0.001,0.1,0,,
GQ65QN93A,TOSHIBA,15450.05,-0.066,-1092.95,29,-0.084,-3,527.31,0.02,10.34,74,6,0.001,0.1,0,,
65UQ80009LB,METZ BLUE,15349,2.449,10899.1,32,2.516,23,479.66,-0.019,-9.34,67,3,0,0,0,,
40LV3E63,PANASONIC,15310.31,0.534,5332.54,45,0.468,14,339.64,0.045,14.74,47,5,0.004,0.1,18,,
65C649,LG,15287.43,0.4,4367.2,11,0.374,3,1390.93,0.019,25.9,194,15,0.001,0.1,,,
SRT 32HC4433,SONY,15241.27,-0.474,-13724.41,30,-0.481,-28,507.98,0.013,6.74,71,5,0.004,-1.1,6,-0.423,-4
LDDW24MKII,PANASONIC,15203.37,-0.663,-29847.83,25,-0.675,-52,608.13,0.039,23.05,85,8,0.001,0,3,-0.961,-74
65C735,SONY,15170.44,0,0,7,0,0,2081.31,0,0,290,17,0.003,0,0,,
43 VUX 722,LG,15165.85,1.405,8859.85,17,1.067,9,917.29,0.164,129.04,128,24,0.002,0.2,,,
GQ65QN800A,LG,15098.36,0.819,6799.83,4,0.75,2,4313.82,0.04,164.55,602,56,0.001,0,4,0.75,2
L24G5L,METZ,14959.11,0.123,1634.11,48,0.171,7,311.65,-0.041,-13.35,43,1,0.001,0,34,,
GQ43Q64C,HISENSE,14947.78,3.066,11271.78,9,3.463,7,1674.47,-0.089,-163.53,234,-8,0.002,-0.7,,,
65PUS8546,NOKIA,14934,-0.042,-660.34,168,-0.043,-7,88.89,0,0.04,12,1,0,0,0,,
L40G5W,PHILIPS,14879.55,0.117,1554.55,20,0.117,2,740.28,0,0,103,6,0.001,0.1,0,,
65QL5D63,SAMSUNG,14730.41,0.624,5657.41,16,0.6,6,920.65,0.015,13.35,128,9,0.001,0,2,,
50A6K,PHILIPS,14634.53,-0.584,-20583.51,26,-0.577,-35,564.96,-0.018,-10.15,79,3,0.003,-0.2,16,-0.154,-3
TX-55MXF977,SONY,14561.99,0.059,805.66,20,0.077,1,730.63,-0.017,-12.73,102,4,0.003,0.1,,,
43RC630,LG,14510,1.617,8964.74,20,1.899,13,725.5,-0.097,-78.16,101,-4,0,-0.1,,,
32PFS6906,TELEFUNKEN,14454.74,1.075,7487.89,52,1.08,27,277.98,-0.003,-0.7,39,2,0,0,0,,
TX-55MZF1507,SONY,14412.35,0.269,3052.46,8,0.175,1,1796.2,0.08,133.08,250,32,0.001,0,6,-0.178,-1
OLED65CS6LA,PANASONIC,14375.75,-0.464,-12451.11,16,-0.467,-14,898.48,0.005,4.26,125,8,0.001,0,0,,
43UR74003LB,TELEFUNKEN,14365.38,0.233,2715.09,60,0.209,10,239.65,0.02,4.6,33,3,0.014,-0.1,11,-0.378,-7
LDDW24I,LG,14143.97,1.359,8146.97,9,2,6,1571.55,-0.214,-427.45,219,-43,0.01,0.9,5,,
55UK3163,SONY,14090.94,-0.783,-50856.09,14,-0.681,-31,982.57,-0.319,-460.7,137,-53,0.002,-1,4,-0.115,0
65PUS7008,LG,14054.91,,,18,,,767.21,,,107,,0.003,,0,,
GU65AU9079,CHIQ,13995.81,-0.024,-346.47,47,-0.021,-1,297.78,-0.003,-1.01,42,2,0.001,0,0,,
TV A2 43,TELEFUNKEN,13994.9,-0.318,-6534.2,40,-0.32,-19,349,0.003,1.05,49,3,0.001,0,0,,
TX-43MXF887,LG,13961.68,-0.843,-75209.73,14,-0.837,-71,1010.4,-0.041,-43.22,141,2,0.005,-1.2,,,
43UK3163,SONY,13919.75,0.569,5050.26,3,0.375,1,5061.73,0.141,626.98,706,123,0.001,0,0,,
24TQ510S,LG,13839.1,-0.409,-9587.41,6,-0.455,-5,2306.52,0.083,176.83,322,42,0.001,0,5,,
77OLED937,SONY,13837.5,3.008,10384.71,8,2.75,6,1845,0.069,118.61,257,30,0.001,0.1,0,,
KD-85X85K,PANASONIC,13837.02,-0.57,-18348.48,7,-0.588,-10,1976.72,0.044,83.45,276,27,0.001,-0.1,,,
SMART 55 XT,STRONG,13799.51,14.384,12902.51,55,17.333,52,250.9,-0.161,-48.1,35,-4,0.004,0.4,,,
CS32WS01,METZ,13761.53,1.258,7668.11,52,1.261,29,264.64,-0.001,-0.29,37,2,0,0,0,,
43E61KT,PHILIPS,13693.23,6.704,11915.73,20,6.836,17,698.99,-0.017,-12.01,97,4,0.001,0.1,,,
65 CUA 8290 PARIS,LG,13683.19,2.047,9192.37,10,1.564,6,1334.37,0.189,211.67,186,39,0.002,0.1,,,
55NANO819QA,LG,13567.81,0.284,3002.82,12,0.342,3,1136.05,-0.043,-51.03,158,2,0.002,0,7,0.15,1
GQ85Q60T,PANASONIC,13530.02,2.417,9570.37,24,1.604,15,554.29,0.312,131.93,77,22,0.003,0.2,7,,
QE55S90C,LG,13416,0.256,2733.99,25,0.316,6,536.64,-0.045,-25.57,75,1,0.001,0,,,
55 CUA 7390 MAILAND,PANASONIC,13309.96,0.892,6276.13,8,0.798,4,1567.74,0.053,78.45,219,23,0.001,0.1,,,
55 GUT 8055 FLORENZ,PANASONIC,13288,-0.366,-7687,22,-0.371,-13,604,0.008,4.71,84,6,0,0,0,,
TOPAS 48 TY91 OLED TWIN R,GRUNDIG,13260.59,1.225,7301.59,7,1.234,4,1978.28,-0.004,-8.05,276,15,0.002,0.2,,,
GQ43QN94B,PANASONIC,13226.42,-0.626,-22126.81,12,-0.633,-20,1134.51,0.02,22.52,158,12,0.002,-0.3,5,-0.587,-7
L24H550M4,TOSHIBA,13207.4,0.126,1473.66,44,0.033,1,298.21,0.089,24.41,42,6,0.009,0.2,13,-0.454,-11
TX-43MXX969,HISENSE,13200,-0.017,-225.91,4,0,0,3300,-0.017,-56.48,460,19,0.001,0,2,0,0
TX-48JZW1004,LG,13006.11,-0.232,-3926.13,21,-0.124,-3,621.38,-0.123,-87.05,87,-6,0.004,0,,,
SRT 24HC3023,PANASONIC,12812.04,-0.47,-11364.83,4,-0.429,-3,3203.01,-0.073,-250.83,447,-7,0.001,0.1,,,
40FSV231,METZ BLUE,12781.89,1.168,6886.23,15,1.265,8,867.93,-0.043,-38.83,121,2,0.01,0.9,,,
D32H550X1CWT,LG,12727.94,0.009,108.24,18,0.178,3,690.85,-0.144,-116.38,96,-10,0.002,0,18,,
43QA7D63,SAMSUNG,12727.59,-0.863,-80265.95,5,-0.865,-32,2584.05,0.014,34.72,360,25,0.001,-0.2,0,,
GQ43Q72B,PANASONIC,12656.27,-0.363,-7201.53,27,-0.376,-16,475.36,0.021,9.65,66,5,0.003,-1,,,
32WA3B63,JVC,12556.38,0.626,4831.92,73,0.513,25,171.6,0.075,11.91,24,3,0.005,-0.1,6,-0.529,-7
OLED77C38LA,METZ BLUE,12438.46,1.352,7150.32,17,1.171,9,753.42,0.083,57.95,105,14,0.01,1,,,
TX-42LZT1506,PANASONIC,12363.64,-0.198,-3054.35,13,-0.16,-2,962.83,-0.045,-45.61,134,2,0.002,0,9,,
OLED48C21LA,PHILIPS,12346.48,,,31,,,398.27,,,56,,0.001,,0,,
GQ43LS05BG,SONY,12255.13,-0.514,-12963.24,47,-0.518,-51,258.03,0.007,1.84,36,2,0.007,-0.9,13,-0.731,-36
50P639,SONY,12203.62,0.049,570.55,29,0.054,2,414.8,-0.005,-1.97,58,3,0.005,0.1,,,
TX-42LZW804,PANASONIC,11941.44,,,26,,,459.29,,,64,,0.001,,16,,
43 VCE 223,METZ BLUE,11939.57,-0.241,-3793.61,51,-0.23,-15,233.78,-0.014,-3.31,33,1,0.006,-0.1,,,
XH32AN660S,ANTTEQ,11911.36,-0.479,-10966.42,15,-0.472,-13,789.52,-0.015,-11.68,110,5,0.006,-1,,,
LT-55VU2255,JVC,11878.52,-0.018,-221.28,84,0.194,14,142.09,-0.178,-30.7,20,-3,0.008,0.1,38,,
65OLED807,SONY,11873.9,3.84,9420.5,26,3.004,19,459.59,0.209,79.33,64,14,0.004,0.3,2,-0.399,-2
ENTER 24 PRO X2,PHILIPS,11866,-0.614,-18838.59,34,-0.614,-54,349,0,0.08,49,3,0,0,0,,
LED2423,DYON,11863.91,,,16,,,734.43,,,102,,0.003,,3,,
GQ75QN95A,SAMSUNG,11851.6,-0.679,-25067.12,4,-0.665,-7,3292.11,-0.043,-148.38,459,7,0.001,-0.9,3,-0.765,-8
43PUS8536,ANTTEQ,11825.31,,,13,,,899,,,125,,0.002,,0,,
55A66H,SAMSUNG,11753.35,-0.431,-8896.11,4,-0.429,-3,2938.34,-0.004,-11.59,410,22,0.001,0,4,-0.184,-1
32LK3C63,LG,11721.5,-0.202,-2958.13,25,-0.273,-9,464.2,0.099,41.77,65,9,0.004,0,4,0.017,0
75C731,SAMSUNG,11711.16,,,26,,,453.54,,,63,,0.002,,26,,
65OLED986,PANASONIC,11709.09,-0.058,-724.74,14,-0.093,-1,845.19,0.039,31.49,118,11,0.002,-0.9,2,-0.71,-5
55PUS8508,WE. BY LOEWE.,11695.88,-0.356,-6475.32,7,-0.307,-3,1738.87,-0.071,-133.43,242,-3,0.001,0,5,,
LED2223,PANASONIC,11668.44,0.765,5058.3,18,0.866,8,663.91,-0.054,-37.97,93,0,0.003,0.2,7,,
GQ50LS03A,LG,11621,,,9,,,1291.22,,,180,,0.001,,0,,
55MUB7111,HISENSE,11571,2.154,7902.32,5,1.5,3,2314.2,0.262,479.86,323,82,0.001,0,0,,
75QNED866RE,TELEFUNKEN,11509.07,0.559,4128.29,33,0.231,6,350.2,0.267,73.79,49,13,0.006,0.4,13,-0.179,-3
TX-55LXX889,PANASONIC,11433.67,-0.63,-19456.35,8,-0.652,-15,1429.21,0.064,86.16,199,23,0.001,-0.1,,,
32FHD7900,METZ,11349.55,0.661,4515.83,45,0.642,18,253.62,0.011,2.84,35,2,0.005,0.2,,,
XR-65A90J,TELEFUNKEN,11341.77,0.295,2583.84,48,0.307,11,237.76,-0.009,-2.17,33,2,0.004,0,,,
XU65AN751S,PHILIPS,11298,0.276,2445.65,24,0.113,2,469.75,0.146,59.95,66,12,0.004,0.3,0,,
UE55CU8072,SONY,11258.42,0.935,5440.45,18,0.936,9,620.8,0,-0.17,87,5,0.003,0,5,-0.419,-4
65PUS8887,SAMSUNG,11248,0.088,906.24,18,0.108,2,624.89,-0.019,-11.92,87,3,0.001,0,6,,
GQ50LS01BH,TOSHIBA,11241.23,-0.156,-2082.69,73,-0.167,-15,153.22,0.013,1.98,21,1,0.014,-0.6,0,,
70E61KT,SONY,11220.03,-0.298,-4753.29,15,-0.335,-7,769.63,0.057,41.38,107,12,0.002,0.1,,,
32LA2B63,LG,11151,-0.091,-1113.35,7,0.25,1,1593,-0.273,-597.06,222,-66,0.001,0,4,,
43PUS8505,JVC,11147.89,0.233,2108.01,55,0.21,10,203.23,0.019,3.86,28,2,0.005,0.1,22,0.936,11
GQ50Q80B,SONY,11119.1,0.553,3957.17,13,0.594,5,868.17,-0.026,-23.45,121,4,0.002,0.1,,,
24WA2063,PHILIPS,11110.65,-0.425,-8223.95,32,-0.422,-23,347.21,-0.005,-1.79,48,3,0,0,,,
TX-75LXN888,SONY,11004.76,,,10,,,1071.26,,,149,,0.008,,0,,
24EA4E,SAMSUNG,10977.42,0.961,5380.6,2,0.86,1,4534.15,0.055,235.14,632,68,0,0,0,,
XU43SN550S,PANASONIC,10884.18,-0.604,-16633.09,9,-0.571,-12,1209.35,-0.077,-100.99,169,-3,0.002,-0.2,5,-0.429,-4
QU43K800,PANASONIC,10880.25,1.271,6089.68,7,0.916,3,1611.89,0.185,251.99,225,46,0.01,1,,,
XR-65X94K,HISENSE,10875.6,0.454,3396.6,16,0.455,5,679.73,0,-0.18,95,5,0.001,0,0,,
TX-49LXN978,METZ,10799.4,0.054,549.29,60,0.053,3,179.99,0.001,0.16,25,1,0,0,0,,
ALU20070,METZ,10688.23,0.133,1257.52,83,0.153,11,128.77,-0.017,-2.21,18,1,0.001,0,0,,
XR-77A80K,LOEWE,10686.04,,,10,,,1124.85,,,157,,0.002,,0,,
86PUS8807,TELEFUNKEN,10685.79,-0.092,-1086.1,53,-0.172,-11,203.4,0.096,17.83,28,4,0.003,0,32,-0.372,-19
U50G7U,TELEFUNKEN,10625.51,0.339,2689.74,60,0.401,17,175.98,-0.044,-8.09,25,0,0.007,0.2,35,1.033,18
32WV3E63,METZ,10556.31,-0.408,-7283.13,60,-0.445,-48,175.94,0.066,10.91,25,3,0.005,0,,,
43PUS8007,SONY,10423.71,-0.696,-23907.22,11,-0.717,-28,947.29,0.073,64.31,132,16,0.01,-0.3,0,,
65UL6C63,LG,10375.33,2.69,7563.7,10,2.429,7,1008.71,0.076,71.5,141,18,0.002,0.1,2,,
QE65Q60C,METZ BLUE,10340.02,0.398,2941.55,9,0.368,3,1111.6,0.022,23.9,155,12,0.002,0,,,
43PFS6805,SONY,10296.92,,,12,,,887.67,,,124,,0.002,,,,
43PUS7906,PANASONIC,10280.08,-0.246,-3346.03,58,-0.224,-17,176.79,-0.028,-5.14,25,1,0.001,-0.4,4,-0.891,-33
86NANO769QA,HISENSE,10272.74,-0.003,-34.79,10,0,0,1027.27,-0.003,-3.48,143,8,0.001,0,0,,
KE-48A9,SAMSUNG,10266.38,12.932,9529.48,18,13.201,17,568,-0.019,-11,79,3,0.001,0.1,,,
55PUS8848,HISENSE,10245,0.027,269,8,0,0,1280.63,0.027,33.63,179,15,0,0,0,-1,-3
KD-55X89K,TOSHIBA,10227.88,-0.252,-3452.35,13,-0.207,-3,781.11,-0.057,-46.95,109,0,0.002,-0.1,,,
D50U750E2CW,SAMSUNG,10177.18,4.121,8189.68,12,3.762,9,854.82,0.075,59.82,119,15,0.001,0.1,11,,
MICOS 49 TY61 UHD TWIN,HISENSE,10141.67,-0.375,-6084.23,7,-0.349,-4,1513.26,-0.04,-63.78,211,4,0.001,-0.1,0,,
43G7LX,CHIQ,10138.35,0.047,454.35,47,0.011,1,215.71,0.036,7.45,30,3,0.004,0.1,34,0.045,1
32E4KT,SONY,10050.53,0.435,3048.42,8,0.394,2,1293.05,0.03,37.5,180,15,0.001,0,,,
50 GUB 6300,PHILIPS,10038,-0.678,-21178,9,-0.679,-19,1115.33,0,0.48,156,9,0,0,0,,
40 GFB 5240,LG,9969.02,,,4,,,2492.26,,,348,,0.001,,,,
TX-42MZX1509,HISENSE,9946.88,1.154,5328.99,8,1.461,5,1263.1,-0.125,-179.99,176,-13,0.001,0.1,,,
TX-65LXN888,SONY,9929.73,3.833,7875.25,10,1.776,6,1016.69,0.741,432.64,142,65,0.002,0.1,3,-0.028,0
GQ75Q80C,TOSHIBA,9745.3,-0.253,-3298.19,19,-0.258,-7,509.66,0.006,3.23,71,5,0.011,0.7,7,-0.258,-2
55U87GQ,SAMSUNG,9742.5,0.518,3323.6,8,0.705,3,1299,-0.11,-159.84,181,-11,0,0,8,,
QNR43GV215,SONY,9717.66,1.025,4919,4,1.756,2,2644.81,-0.265,-954.19,369,-104,0.001,0,4,,
24PHS5537,SAMSUNG,9633.07,-0.565,-12524.8,9,-0.575,-11,1133.3,0.023,25.41,158,12,0.001,0,3,,
TX-32LSX509,NORDMENDE,9623.64,0.308,2263.96,42,0.313,10,229.13,-0.004,-0.86,32,2,0.001,0,0,,
65UA5D63,PHILIPS,9614.65,0.987,4775.46,14,0.929,7,712.2,0.03,20.88,99,8,0.004,0.3,,,
S43U4354J,TOSHIBA,9589.29,-0.088,-920.64,13,0,0,729.01,-0.088,-69.99,102,-3,0.002,0,0,,
40A4EG,SONY,9550.08,-0.401,-6396.88,5,-0.409,-3,1949,0.013,24.36,272,19,0.001,0,0,,
32E41KT,XIAOMI,9522.25,3.05,7171.21,20,2.889,15,466.4,0.041,18.58,65,6,0.003,0.2,20,,
CALEA 43 TY64 UHD TWIN,SAMSUNG,9502.07,1.833,6148.07,6,1.885,4,1646.6,-0.018,-30.4,230,9,0.001,0.1,,,
D32H551E4,HISENSE,9499,,,1,,,9499,,,1325,,0,,0,,
GQ75Q72B,PANASONIC,9487.5,2.48,6761,12,2.286,8,825,0.059,46,115,13,0.002,0.1,0,,
TX-32FSW504S,METZ BLUE,9402.2,0.045,408.2,25,0.046,1,374.59,0,-0.16,52,3,0.001,0.1,0,,
OLED65G29LA,TELEFUNKEN,9395.92,31.037,9102.64,31,30,30,303.09,0.033,9.81,42,4,0.001,0,31,,
L24H550M4D,HITACHI,9357.3,,,2,,,4678.65,,,652,,0,,0,,
43PUS8807,METZ,9322.04,-0.456,-7811.96,40,-0.475,-36,233.93,0.036,8.18,33,3,0.004,-0.3,,,
D50U750R1CW,TOSHIBA,9295,0.42,2748,55,0.447,17,169,-0.019,-3.29,24,1,0.001,0,0,,
65 GUB 8250,LG,9239.87,-0.494,-9005.35,18,-0.536,-21,508.62,0.091,42.27,71,10,0.003,-0.1,6,-0.729,-17
65OLED707,SONY,9228.94,1.315,5242.24,16,1.525,10,569.69,-0.083,-51.65,79,-2,0.002,0.1,10,1.164,5
43 GUB 7240,TOSHIBA,9182.23,3.594,7183.56,28,3.497,22,326.02,0.022,6.91,45,4,0.004,0.3,10,,
XF43K550,LG,9156.94,-0.158,-1722.85,7,-0.125,-1,1308.13,-0.038,-51.84,182,4,0.001,0,0,,
48OLED887,METZ,9121.57,0.202,1531.29,23,0.15,3,396.59,0.045,17.08,55,5,0.001,0,0,,
GU55AU9079,LG,9107.94,0.155,1224.93,8,0.361,2,1097.34,-0.151,-194.95,153,-17,0.001,0,,,
GQ65Q72A,SHARP,9090.18,-0.66,-17639.37,60,-0.69,-133,152.46,0.098,13.66,21,3,0.012,-1.1,0,,
QU70L800,LG,9043.38,0.105,856.92,5,-0.128,-1,1955.32,0.266,411.26,273,70,0.001,0,0,,
55 CQA 8490 LONDON,SAMSUNG,8977.31,-0.013,-122.37,4,0,0,2086.83,-0.013,-28.45,291,13,0.009,0,,,
KD-55X81J,METZ BLUE,8932,5.686,7596,64,7,56,139.56,-0.164,-27.44,19,-2,0,0,,,
75QNED756RA,METZ,8832,1.723,5588,46,1.875,30,192,-0.053,-10.75,27,0,0,0,0,,
75NANO763QA,TECHWOOD,8813.08,,,13,,,670,,,93,,0.002,,0,,
65PUS8897,LG,8811.92,-0.009,-76.87,14,0.004,0,611.93,-0.012,-7.5,85,4,0.002,-0.2,0,,
LIVE 43 PRO,SONY,8772.27,8.772,7874.6,10,9,9,877.23,-0.023,-20.44,122,4,0.001,0.1,,,
TX-43MXF967,METZ,8771.61,0.086,691.44,25,0.087,2,350.86,-0.001,-0.45,49,3,0.001,0,0,,
40 CFA 6251 WIEN,LG,8746.43,-0.712,-21615.91,5,-0.703,-13,1647.88,-0.031,-51.89,230,7,0,-0.2,0,-1,-7
55PUS7008,METZ BLUE,8739.13,1.277,4901.52,5,1.302,3,1898.25,-0.011,-20.55,265,13,0.001,0,,,
