Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
BN24H1372EEB,SONY,35512.67,0.063,2117.97,44,0.055,2,802.85,0.008,6.66,112,7,0.004,0,,,
43UR81006LJ,PHILIPS,35265.12,-0.023,-843.39,102,-0.013,-1,347.32,-0.011,-3.72,48,2,0.017,-0.4,9,-0.445,-7
50UP751C,PANASONIC,35171.23,-0.652,-65948.86,17,-0.606,-26,2068.44,-0.116,-272.09,288,-19,0.011,-0.3,,,
75PML9008,SONY,35090.57,1.987,23341.06,22,1.87,14,1618.18,0.041,63.37,226,21,0.004,0.3,,,
D32H660X5CWI,LG,34872.83,-0.096,-3697.97,27,-0.219,-8,1289.62,0.158,175.88,180,34,0.004,-0.1,,,
TX-43LXX889,HISENSE,34806.85,1.051,17834.83,15,1.211,8,2248.95,-0.072,-175.62,314,-5,0.011,1,6,1.948,4
43P731,PANASONIC,34753.88,-0.285,-13871.87,24,-0.301,-11,1420.49,0.022,30.34,198,15,0.004,-0.9,12,-0.223,-4
77OLED808,SAMSUNG,34682.01,-0.33,-17064.69,47,-0.33,-23,742.79,0,0.3,104,6,0.008,-0.9,25,0.781,11
TX-32MSX609,SONY,34425.71,0.73,14529.47,143,0.672,57,240.63,0.035,8.11,34,3,0.026,1.4,40,5.736,34
70PUS8007,SAMSUNG,34013.57,0.606,12829.46,14,0.548,5,2441.17,0.037,87.38,340,31,0.002,-0.8,5,-0.097,-1
65QNED756RA,SAMSUNG,34001.24,-0.217,-9413,62,-0.23,-18,551.97,0.017,9.29,77,6,0.004,0.4,0,,
43MUC7111Z,LG,33997.8,-0.428,-25412.43,11,-0.438,-8,3212.39,0.018,57.86,448,34,0.002,-1,1,,
XR-65X95J,SONY,33878.74,-0.316,-15673.14,25,-0.267,-9,1356.51,-0.067,-97.05,189,-2,0.003,-0.9,,,
32HA2S13,LG,33734.46,0.707,13966.44,61,1.858,39,556.67,-0.403,-375.78,78,-45,0.003,-0.3,55,20.462,52
D55V850M5CWH,SAMSUNG,33707.75,-0.232,-10201.25,23,-0.221,-7,1438.96,-0.014,-20.61,201,9,0.003,-0.9,,,
SMART 42 AD,LG,33667.59,0.158,4603.96,30,0.264,6,1128.48,-0.083,-102.69,157,-4,0.005,0.2,,,
WE. SEE 50,SAMSUNG,33061,13.769,30822.4,20,13.286,19,1653.05,0.034,54.05,231,20,0.001,0,,,
D50Q660M2CW,SAMSUNG,32990.82,-0.498,-32721.22,27,-0.451,-22,1216.39,-0.085,-113.62,170,-5,0.004,-0.2,,,
TX-50MXF887,HISENSE,32701.98,0.838,14911.93,20,1.034,10,1610.79,-0.096,-172,225,-10,0.011,1,14,0.81,6
SMART LED TV 1222,LG,32620.41,0.49,10721.52,25,0.497,8,1281.52,-0.005,-6.77,179,9,0.005,0.2,5,0.497,2
55PUS8887,WE. BY LOEWE.,32619.25,-0.162,-6298.96,12,-0.162,-2,2646.18,0.001,2.02,369,22,0.004,0.2,0,,
GU65AU7179,SONY,32609.18,0.04,1263.84,35,-0.024,-1,931.1,0.066,57.56,130,15,0.008,0,,,
KD-50X80L,HISENSE,32500.02,1.958,21511.86,29,1.9,19,1120.69,0.02,21.87,156,12,0.001,0,20,,
43UL4D63,PHILIPS,32144,-0.187,-7405,61,-0.187,-14,526.95,-0.001,-0.37,73,4,0,0,0,,
TX-75LXF977,LG,32048.95,-0.16,-6111.68,40,-0.164,-8,800.2,0.005,4.02,112,7,0.003,0,0,,
TX-65MZ800E,PANASONIC,31972.49,-0.502,-32227.36,18,-0.491,-17,1768.69,-0.022,-39.76,247,9,0.011,-0.1,15,-0.33,-7
43GFB2022,PANASONIC,31898.27,0.884,14971.6,45,0.875,21,708.85,0.005,3.57,99,6,0.001,0.1,0,,
GQ55QN95A,SONY,31795.54,0.677,12833.19,31,0.676,12,1035.33,0.001,0.66,144,8,0.005,0.2,,,
XU65SN660S,LG,31597.36,2.411,22334.18,56,2.911,42,560.62,-0.128,-82.15,78,-6,0.014,1.2,,,
TX-65MXN978,WE. BY LOEWE.,31314.07,-0.079,-2680.52,10,-0.137,-2,2999,0.068,190.43,418,49,0.003,0.1,0,,
OLED65C11LB,TELEFUNKEN,31213.9,,,119,,,263.37,,,37,,0.018,,0,,
GQ98QN90A,SAMSUNG,31160.98,-0.321,-14724.66,16,-0.325,-8,1938.24,0.006,11.36,270,17,0.002,-0.1,,,
32MTC6100Y,SONY,31060.33,3.113,23508.08,22,2.79,16,1388.63,0.085,108.99,194,26,0.002,0.1,,,
50PUS7607,SONY,30980.63,7.835,27473.91,35,6.873,30,896.55,0.122,97.55,125,20,0.006,0.5,0,,
50PUS7956,HISENSE,30826.56,,,15,,,2043.75,,,285,,0.005,,0,,
TX-48MZT1506,SAMSUNG,30734.06,-0.045,-1444.78,27,-0.015,0,1143,-0.031,-36.33,159,4,0.001,-0.1,0,,
QN43GV315I,SONY,30451.15,,,13,,,2315,,,323,,0.002,,0,,
65A7HQ,LOEWE,30445.05,0.236,5819.74,84,0.192,14,361.35,0.037,13.05,50,5,0.011,0.1,25,0.43,8
OLED65CS9LA,SONY,30443.38,-0.092,-3090.89,102,0.006,1,297.66,-0.098,-32.21,42,-2,0.012,0.1,,,
XR-65A80J,PHILIPS,30441.9,-0.504,-30971.79,122,-0.528,-136,249.58,0.05,11.83,35,4,0.025,-1.4,63,0.565,23
50MUB7111,LG,30433.29,0.274,6552.83,59,0.283,13,515.82,-0.006,-3.32,72,4,0,0,,,
CS24WS01,PANASONIC,30387.97,-0.422,-22210.67,9,-0.48,-8,3438.51,0.11,341.3,480,73,0.01,0.8,0,-1,-12
TX-55MZ700E,SONY,30372.86,0.033,972.94,97,0.071,6,312.8,-0.036,-11.52,44,1,0.018,0.5,30,-0.216,-8
50P731,PANASONIC,30344.06,-0.673,-62461.31,18,-0.675,-38,1673.98,0.007,11.36,233,15,0.003,-1.1,,,
LT-32VF5156,SONY,30269.62,0.19,4839.71,48,0.221,9,631.91,-0.025,-16.34,88,3,0.014,0.9,,,
LT-43VA7255,LOEWE,30176.37,0.056,1599.56,69,0.055,4,434.93,0.001,0.53,61,4,0.01,-0.8,28,1.937,18
KD-50X73K,DYON,29931.23,-0.269,-11006.34,177,-0.29,-72,169.01,0.029,4.8,24,2,0.001,0,0,,
43UL6B63,SONY,29875.44,0.642,11685.85,24,0.588,9,1230.17,0.034,40.85,172,15,0.012,0.2,6,-0.347,-3
65U87HQ,SAMSUNG,29858.2,-0.087,-2854.56,19,-0.133,-3,1606.71,0.053,80.4,224,24,0.011,0,,,
43UQ76909LE,PANASONIC,29305.31,-0.231,-8785.64,35,-0.255,-12,837.29,0.033,26.85,117,10,0.001,0,,,
75 VOE 73,METZ,29124.62,0.185,4543.62,77,0.186,12,377.75,-0.001,-0.42,53,3,0.001,0.1,0,,
43PUS8887,PHILIPS,28801.2,-0.428,-21525.63,25,-0.457,-21,1152.05,0.053,57.99,161,17,0.001,0,8,-0.592,-11
ALU00050,LOEWE,28788.31,3.128,21814.07,39,2.746,29,737.22,0.102,68.25,103,15,0.006,0.5,7,0.926,3
TECHNIVISION UHD50A 5450/98,HISENSE,28737.43,0.446,8857.2,33,0.375,9,870.83,0.051,42.49,121,13,0.004,0.2,4,-0.67,-8
75UR81006LJ,SONY,28669.17,0.538,10033.37,65,0.495,21,441.89,0.029,12.43,62,5,0.01,0.3,,,
GQ75QN85B,LG,28241.61,1.54,17123.39,34,1.63,21,828.6,-0.034,-29.38,116,3,0.005,0.1,,,
H55M7000,METZ,27835,0.195,4540.6,96,0.2,16,289.95,-0.004,-1.23,40,2,0,0,0,,
65OLED837,SAMSUNG,27810.36,0.168,3999.34,21,-0.124,-3,1296.88,0.333,324,181,53,0.003,0.2,,,
OLED65B29LA,PHILIPS,27747,-0.272,-10378,73,-0.27,-27,380.1,-0.003,-1.15,53,3,0,0,0,,
55UA5D63,PANASONIC,27498.79,-0.372,-16323.19,19,-0.359,-11,1418.86,-0.021,-31.07,198,7,0.002,-0.2,,,
86QNED816RE,METZ,27462.18,3.517,21383.09,96,4.107,77,287.56,-0.115,-37.52,40,-3,0.007,0.5,,,
65UK3163,SAMSUNG,27432,-0.594,-40157.89,38,-0.6,-57,721.89,0.016,11.17,101,7,0.001,0,,,
LT-55VU8156,PANASONIC,27367,-0.097,-2956,39,-0.114,-5,701.72,0.018,12.56,98,7,0,0,0,,
50UR81006LJ,LG,27095.63,,,5,,,5737.03,,,800,,0.001,,0,,
GU43AU9089,SONY,26918.67,,,21,,,1271.08,,,177,,0.008,,0,,
